Date,Site Number,GPS point,Lat,Lon,EC,Temp,Time,Notes,,,,,,,,,,,,,,,,,,,
9/28/18,1,1,41.80363,-73.78189,258.9,15.3,10:20,Very high flow from rains. Strong current. This is the same for all of site 1,,,,,,,,,,,,,,,,,,,
9/28/18,1,2,41.8037,-73.78202,260.4,15.2,10:28,The GPS unit did not correctly find the location for this measurement,,,,,,,,,,,,,,,,,,,
9/28/18,1,3,41.80275,-73.78388,260,15.2,10:37,,,,,,,,,,,,,,,,,,,,
9/28/18,1,4,41.80314,-73.78494,260.1,15.2,10:44,,,,,,,,,,,,,,,,,,,,
9/28/18,1,5,41.8042,-73.78561,259.5,15.2,10:51,,,,,,,,,,,,,,,,,,,,
9/28/18,1,6,41.80359,-73.78623,259.5,15.2,10:59,,,,,,,,,,,,,,,,,,,,
9/28/18,1,7,41.80295,-73.78663,259.4,15.2,11:06,,,,,,,,,,,,,,,,,,,,
9/28/18,1,8,41.80251,-73.78697,259.4,15.2,11:11,,,,,,,,,,,,,,,,,,,,
9/28/18,1,9,41.80237,-73.78726,259.2,15.2,11:15,,,,,,,,,,,,,,,,,,,,
10/5/18,2,1,41.74113,-73.8305,307.8,15.4,12:58,Canoeing due to very high flows,,,,,,,,,,,,,,,,,,,
10/5/18,2,2,41.73644,-73.83305,307.9,15.4,13:07,Same as above,,,,,,,,,,,,,,,,,,,
10/5/18,2,3,41.73422,-73.83541,308.3,15.4,13:13,,,,,,,,,,,,,,,,,,,,
10/5/18,2,4,41.72798,-73.83739,308.3,15.5,13:23,,,,,,,,,,,,,,,,,,,,
10/5/18,2,5,41.7247,-73.83949,308.7,15.6,13:32,,,,,,,,,,,,,,,,,,,,
10/5/18,2,6,41.7214,-73.83969,307.3,15.5,13:38,,,,,,,,,,,,,,,,,,,,
10/5/18,2,7,41.71792,-73.84369,309.5,15.6,13:47,,,,,,,,,,,,,,,,,,,,
10/5/18,2,8,41.71499,-73.84574,309.3,15.6,13:54,,,,,,,,,,,,,,,,,,,,
10/5/18,2,9,41.71397,-73.84609,309.7,15.6,14:04,,,,,,,,,,,,,,,,,,,,
10/5/18,2,10,41.71455,-73.85161,311.1,15.7,14:14,,,,,,,,,,,,,,,,,,,,
10/5/18,2,11,41.71193,-73.85387,310.8,15.7,14:21,,,,,,,,,,,,,,,,,,,,
10/5/18,2,12,41.70899,-73.85606,311.4,15.7,14:55,,,,,,,,,,,,,,,,,,,,
10/5/18,2,13,41.7065,-73.85732,311.9,15.8,15:03,,,,,,,,,,,,,,,,,,,,
10/5/18,2,14,41.70284,-73.8608,312.7,15.8,15:12,,,,,,,,,,,,,,,,,,,,
10/5/18,2,15,41.69994,-73.86296,312.6,15.8,15:19,,,,,,,,,,,,,,,,,,,,
10/5/18,2,16,41.69676,-73.86699,313.5,15.7,15:28,,,,,,,,,,,,,,,,,,,,
10/5/18,2,17,41.69324,-73.86698,316,15.8,15:33,,,,,,,,,,,,,,,,,,,,
10/5/18,2,18,41.68951,-71.86997,315.7,15.8,15:49,,,,,,,,,,,,,,,,,,,,
10/19/18,3,1,41.79652,-73.71534,340.5,9.4,11:04,,,,,,,,,,,,,,,,,,,,
10/19/18,3,2,41.79607,-73.71577,340.2,9.4,11:12,,,,,,,,,,,,,,,,,,,,
10/19/18,3,3,41.79582,-73.71656,340.1,9.5,11:19,,,,,,,,,,,,,,,,,,,,
10/19/18,3,4,41.79613,-73.7177,340.5,9.5,11:24,,,,,,,,,,,,,,,,,,,,
10/19/18,3,5,41.79673,-73.71835,339.8,9.6,11:31,,,,,,,,,,,,,,,,,,,,
10/19/18,3,6,41.79674,-73.71894,339.4,9.5,11:38,,,,,,,,,,,,,,,,,,,,
10/19/18,3,7,41.79639,-73.72009,338.8,9.6,11:44,,,,,,,,,,,,,,,,,,,,
10/19/18,3,8,41.79467,-73.72316,334.8,9.7,11:54,,,,,,,,,,,,,,,,,,,,
10/19/18,3,9,41.79394,-73.72337,335.2,9.7,12:00,,,,,,,,,,,,,,,,,,,,
10/19/18,3,10,41.79374,-73.72455,336.9,9.7,12:07,,,,,,,,,,,,,,,,,,,,
10/19/18,3,11,41.79331,-73.72537,336.1,9.7,12:14,,,,,,,,,,,,,,,,,,,,
10/19/18,3,12,41.79251,-73.72633,335.9,9.8,12:23,,,,,,,,,,,,,,,,,,,,
10/19/18,3,13,41.79155,-73.72755,332.7,10,12:49,,,,,,,,,,,,,,,,,,,,
10/19/18,3,14,41.79168,-73.72944,333.2,10,12:57,,,,,,,,,,,,,,,,,,,,
10/19/18,3,15,41.79136,-73.7307,333.2,10,13:04,,,,,,,,,,,,,,,,,,,,
10/19/18,3,16,41.79091,-73.73196,331.4,10,13:12,,,,,,,,,,,,,,,,,,,,
10/19/18,3,17,41.79048,-73.73142,332.5,10.1,13:18,,,,,,,,,,,,,,,,,,,,
